ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
1,.49788,.48246,-.05921,.96082,.126,.31287,-.57545,-.58331,-.91699,-.00665,-.21712,-1.18084,CL5,CL2,CL0,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
2,-.07854,-.48246,1.98437,.96082,-.31685,-.67825,1.93886,1.43533,.76096,-.14277,-.71126,-.21575,CL5,CL2,CL2,CL0,CL6,CL4,CL6,CL3,CL0,CL4,CL0,CL2,CL0,CL2,CL3,CL0,CL4,CL0,CL0
3,.49788,-.48246,-.05921,.96082,-.31685,-.46725,.80523,-.84732,-1.6209,-1.0145,-1.37983,.40148,CL6,CL0,CL0,CL0,CL6,CL3,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL0
4,-.95197,.48246,1.16365,.96082,-.31685,-.14882,-.80615,-.01928,.59042,.58489,-1.37983,-1.18084,CL4,CL0,CL0,CL3,CL5,CL2,CL4,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0
5,.49788,.48246,1.98437,.96082,-.31685,.73545,-1.6334,-.45174,-.30172,1.30612,-.21712,-.21575,CL4,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL2,CL2,CL0,CL0
6,2.59171,.48246,-1.22751,.24923,-.31685,-.67825,-.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,CL2,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
7,1.09449,-.48246,1.16365,-.57009,-.31685,-.46725,-1.09207,-.45174,-.30172,.93949,-.21712,.07987,CL6,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
8,.49788,-.48246,-1.7379,.96082,-.31685,-1.32828,1.93886,-.84732,-.30172,1.63088,.19268,-.52593,CL5,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
9,.49788,.48246,-.05921,.24923,-.31685,.62967,2.57309,-.97631,.76096,1.13407,-1.37983,-1.54858,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
10,1.82213,-.48246,1.16365,.96082,-.31685,-.24649,.00332,-1.42424,.59042,.12331,-1.37983,-.84637,CL6,CL1,CL0,CL1,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
11,-.07854,.48246,.45468,.96082,-.31685,-1.05308,.80523,-1.11902,-.76096,1.81175,.19268,.07987,CL5,CL0,CL1,CL0,CL6,CL2,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL1
12,1.09449,-.48246,-.61113,-.28519,-.31685,-1.32828,.00332,.14143,-1.92595,-.52745,.52975,1.2247,CL5,CL1,CL0,CL0,CL6,CL4,CL5,CL2,CL0,CL3,CL0,CL0,CL0,CL1,CL0,CL2,CL6,CL0,CL0
13,1.82213,.48246,.45468,.96082,-.31685,2.28554,.16767,.44585,-1.6209,-.78155,1.29221,.07987,CL5,CL1,CL0,CL4,CL6,CL3,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0
